product_name,description,how_it_fits,composition_care,sale_price,color,images
Levi’s® Women’s Teodora Western Shirt,"Cowboy boots not included. Our Teodora Western Shirt is a feminine take on a western staple, with a classic snap-button front, two patch pockets, a relaxed fit and a western-inspired yoke design.
A feminine take on a western staple
Cut with a relaxed fit
Features a classic snap-button front
Finished with western-inspired yoke detailing
We made this garment with TENCEL™...
Read more",Point collar; Long Sleeve,"60% TENCEL™ Lyocell™ Lyocell, 40% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,090 ฿","['Marisela Stripe Denim Ground', 'Dusty Pale Mauve Gd Top', '*clean Craft 2*', 'Verified Vintage Top', 'Scraped Travertine Top']",https://levi.co.th/cdn/shop/files/24_H2_WT_A7244-0010_EAS_PS_ON_DA_6d478d16-4ade-4b89-b63d-8d31e202eff5.jpg?v=1728045182&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A7244-0010_EAS_PS_ON_BV_ab48dc22-d99c-4b1e-bb44-c79b7df29334.jpg?v=1728045182&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A7244-0010_EAS_PS_ON_FV_076f27cc-da17-4921-bfbb-191ca9af4f03.jpg?v=1728045182&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A7244-0010_EAS_PS_ON_D1_d0fc207e-6928-4850-86db-c2841a5b4707.jpg?v=1728045182&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A7244-0010_EAS_PS_LD_FV_3073c902-8f8f-42a2-8804-e9260f625a6f.jpg?v=1728045182&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A7244-0010_EAS_PS_LD_D1_c0f37917-c827-46a0-a5ca-35c0c197ed4a.jpg?v=1728045182&width=416
Levi's® Men's Lunar New Year Graphic Tee,"It’s the Year of the Snake and time to celebrate. Out with the old and into the new—this Graphic Tee will bring good luck. We designed it with a classic standard fit and a shiny graphic on the front.
A limited-edition Lunar New Year tee
Cut with a standard fit
Features a shiny print on the front","Regular; Model is 6'1"", Waist 30"", Wearing size medium; Short Sleeve",100% Cotton,"1,290 ฿","['L China Red', 'L Black Beauty', 'L Bright White']",https://levi.co.th/cdn/shop/files/MT_002UB-0002_EAS_PS_ON_DA_3efbf6e9-d16e-4307-bcd6-5c34a99d1b44.jpg?v=1735526284&width=416; https://levi.co.th/cdn/shop/files/MT_002UB-0002_EAS_PS_ON_BV_7ee37f6b-6a78-410b-8673-8be0ec952ed3.jpg?v=1735526284&width=416; https://levi.co.th/cdn/shop/files/MT_002UB-0002_EAS_PS_ON_FV_81d77f95-ae6e-4769-8c97-9f90a081b73f.jpg?v=1735526284&width=416; https://levi.co.th/cdn/shop/files/MT_002UB-0002_EAS_PS_ON_D1_d6ead492-da0a-4a44-a459-a42cc3dbd5fb.jpg?v=1735526284&width=416; https://levi.co.th/cdn/shop/files/MT_002UB-0002_EAS_PS_LD_FV_f77eefe2-10f4-4ed6-b70b-a095b2441a4a.jpg?v=1735526284&width=416; https://levi.co.th/cdn/shop/files/MT_002UB-0002_EAS_PS_LD_D1_3fd9ff05-7d5b-453b-a0fa-363f60035d99.jpg?v=1735526284&width=416
Levi's® Women's XL Skirt,"Part of our timeless XL family, our XL Skirt was designed with an oversized cut and a classic mid rise to create one of the easiest staples in your closet. Plus, we gave it a touch of stretch for all-day comfort.
An easy, oversized skirt
Cut with a mid rise
Designed with classic, non-stretch denim","Non-Stretch; Zip fly; Leg opening: 126"",Measurements based on size 27 waist; Model is 5'10"", Waist 26"", Wearing size 26","100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,490 ฿",['Dark Indigo - Flat Finish'],https://levi.co.th/cdn/shop/files/WB_001T4-0001_EAS_PS_ON_DA_1f95c0d2-9e7d-4d74-81ce-06d51c91414a.jpg?v=1735535035&width=416; https://levi.co.th/cdn/shop/files/WB_001T4-0001_EAS_PS_ON_SV_cb184a10-67a2-43e8-8afd-f21300c08dce.jpg?v=1735535035&width=416; https://levi.co.th/cdn/shop/files/WB_001T4-0001_EAS_PS_ON_BV_6c45e821-fed7-4fc6-a5f4-d0c6f72333ee.jpg?v=1735535035&width=416; https://levi.co.th/cdn/shop/files/WB_001T4-0001_EAS_PS_ON_FV_d810c1d8-f44a-4a9e-9da5-87cd7c3d2b35.jpg?v=1735535035&width=416; https://levi.co.th/cdn/shop/files/WB_001T4-0001_EAS_PS_ON_D2_0972795b-063b-4d3a-9ed6-2f4c52f2423a.jpg?v=1735535035&width=416; https://levi.co.th/cdn/shop/files/WB_001T4-0001_EAS_PS_ON_D1_74d41454-cfdc-4350-a78f-c21da5ab6753.jpg?v=1735535035&width=416; https://levi.co.th/cdn/shop/files/WB_001T4-0001_EAS_PS_LD_FV_48ceb77c-7006-4a92-b92c-a1d2f9dcd96b.jpg?v=1735535035&width=416; https://levi.co.th/cdn/shop/files/WB_001T4-0001_EAS_PS_LD_BV_0b6fdd60-7b94-4254-9f43-beaaec72ab43.jpg?v=1735535035&width=416
Levi’s® Men's 412 Slim Shorts,"Let your legs breathe a little. We made these 412 Slim Shorts with a modern, slim-but-not-skinny fit that'll pair with pretty much anything in your line-up. And because comfort is key, they've got a soft hand feel and an ultra-comfortable fit.","Stretch; Quintessential denim shorts; Made with soft fabric; A slim fit that hits just above your knee; Made with Levi’s® Flex Eco Performance: our advanced stretch technology engineered for maximum flex and comfort; Hold the H2O: This garment was made using recycled water, which helps us to reduce our impact on this finite resource","70% Cotton, 28% Lyocell (Lenzing TENCEL™ Lyocell), 2% LYCRA®®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","1,890 ฿","[""Steel Black Levi's® Flex Short"", 'Fan To Family Adv Shorts', 'Tbd30 Denim']",https://levi.co.th/cdn/shop/files/MB_39387-0140_EAS_PS_ON_FV_e4636737-95cc-4ae7-a6a7-16ec61f34a46.jpg?v=1737448085&width=416; https://levi.co.th/cdn/shop/files/MB_39387-0140_EAS_PS_ON_BV_4cb2ad56-7e77-4699-95be-f1f442bdd447.jpg?v=1737448085&width=416; https://levi.co.th/cdn/shop/files/MB_39387-0140_EAS_PS_ON_SV_afd77143-03f9-4e27-86d7-18972fbca456.jpg?v=1737448085&width=416; https://levi.co.th/cdn/shop/files/MB_39387-0140_EAS_PS_ON_D2_45cb00f0-f0da-4db4-8020-760aa3f6436f.jpg?v=1737448085&width=416; https://levi.co.th/cdn/shop/files/MB_39387-0140_EAS_PS_LD_FV_b70cf974-abdf-4538-a7d7-dae97f1de375.jpg?v=1737448085&width=416; https://levi.co.th/cdn/shop/files/MB_39387-0140_EAS_PS_LD_D1_4a40812c-8ed6-4043-8cb9-8317b7fc917e.jpg?v=1737448085&width=416
Levi's® Men's Heritage Tote,"Our Heritage Tote Bag is an essential for traveling. We made it with durable cotton canvas and gave it a roomy interior with an interior slip pocket.
A versatile tote bag
With a roomy interior and a slip pocket
Features 23L capacity",Zip,95% COTTON +5% FULL GRAIN BOVINE LEATHER; Do Not Wash,"1,690 ฿","['Dark Khaki', 'Jeans Blue']",https://levi.co.th/cdn/shop/files/002GX-0000_EAS_PS_ON_DA_6fb4faf9-30de-4160-a7f8-e7fee8e69c63.jpg?v=1735526492&width=416; https://levi.co.th/cdn/shop/files/002GX-0000_EAS_PS_LD_FV_20907579-581d-4b5a-98a5-4003d1b6de18.jpg?v=1735526492&width=416; https://levi.co.th/cdn/shop/files/002GX-0000_EAS_PS_LD_BV_50b13c45-4a3e-42d8-81f1-fec51c96a5a5.jpg?v=1735526492&width=416; https://levi.co.th/cdn/shop/files/002GX-0000_EAS_PS_LD_D1_bf9751b5-326e-4e32-9a5c-3a7138f0c033.jpg?v=1735526492&width=416
Levi's® Men's 501® Original Jeans,"Close your eyes. Think “jeans.” Now open. They were 501® Originals, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of modern jeans in existence—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) introduced them in 1873. To this day they’ve never gone out of style. And they never...
Read more",Non-stretch; The original blue jeans; Our signature straight fit; A blank canvas for customization and self-expression; Made with non-stretch denim,"100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","3,490 ฿","['Never Settle Stretch', 'East Bound']",https://levi.co.th/cdn/shop/files/WB_00501-3639_EAS_PS_ON_DA.jpg?v=1737451310&width=416; https://levi.co.th/cdn/shop/files/WB_00501-3639_EAS_PS_ON_BV.jpg?v=1737451310&width=416; https://levi.co.th/cdn/shop/files/WB_00501-3639_EAS_PS_ON_SV.jpg?v=1737451310&width=416; https://levi.co.th/cdn/shop/files/WB_00501-3639_EAS_PS_ON_FV.jpg?v=1737451310&width=416; https://levi.co.th/cdn/shop/files/WB_00501-3639_EAS_PS_ON_D1.jpg?v=1737451310&width=416; https://levi.co.th/cdn/shop/files/WB_00501-3639_EAS_PS_ON_D2.jpg?v=1737451310&width=416; https://levi.co.th/cdn/shop/files/WB_00501-3639_EAS_PS_LD_FV.jpg?v=1737451310&width=416; https://levi.co.th/cdn/shop/files/WB_00501-3639_EAS_PS_LD_D1.jpg?v=1737451310&width=416
Levi's® Women's Mona Denim Corset,"What's better than a flattering corset? Our Mona Denim Corset. We designed it with a slim fit and a button-up front.
A flattering denim corset
Cut with a slim fit","V-neck; Sleeveless; Model is 6'1"" with a 31"" waist. They're wearing a size 31 x 32.","100% Cotton; Do not wash, Do not bleach, Do not tumble dry, Do not iron, Do not dryclean, When soiled, clean with sponge and cold water and brush off grit","1,890 ฿","['Kind Of Fun 2', 'Optical Illusion Trucker']",https://levi.co.th/cdn/shop/files/levis-womens-mona-denim-corset-24_H2_WT_000MU-0003_EAS_PS_ON_FV_d7a65e21-7f4b-4f2d-b52b-7236b556033a.jpg?v=1732005760&width=416; https://levi.co.th/cdn/shop/files/levis-womens-mona-denim-corset-24_H2_WT_000MU-0003_EAS_PS_ON_DA_82edb83b-a2d1-419c-ac71-6cf5ac3cf6a5.jpg?v=1732005760&width=416; https://levi.co.th/cdn/shop/files/levis-womens-mona-denim-corset-24_H2_WT_000MU-0003_EAS_PS_ON_D1_f025c195-8c03-47f5-8d9d-da0605743571.jpg?v=1732005760&width=416; https://levi.co.th/cdn/shop/files/levis-womens-mona-denim-corset-24_H2_WT_000MU-0003_EAS_PS_LD_FV_22c0094a-35af-49cb-aaf9-b20064444f49.jpg?v=1732005760&width=416; https://levi.co.th/cdn/shop/files/levis-womens-mona-denim-corset-24_H2_WT_000MU-0003_EAS_PS_LD_BV_b021f81a-a30b-4e56-872e-8798ad77241b.jpg?v=1732005760&width=416
Levi's® Women's Graphic Boxy T-Shirt,"Nothing beats a timeless tee. Our Graphic Boxy T-Shirt kicks it up a notch with an archive-inspired graphic design.
A comfy, timeless tee
Cut with a boxy fit
Finished with an archive-inspired graphic design
With a satin appliqué","Crewneck; Model is 5'9"", Waist 25"", Wearing size S; Short Sleeve","100% Cotton; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Do not dryclean, Color may transfer when new. wash before wearing, Wash inside out with like colors, Do not iron decoration","1,190 ฿","['Blush', 'Deep Depths', 'Starstruck Heather Grey']",https://levi.co.th/cdn/shop/files/WT_A8804-0040_EAS_PS_ON_DA_e04f6189-6088-4e3b-8e2e-32ccfd21c4b9.jpg?v=1735574235&width=416; https://levi.co.th/cdn/shop/files/WT_A8804-0040_EAS_PS_ON_BV_399b92f7-9c46-4f87-98b8-57882e17b106.jpg?v=1735574235&width=416; https://levi.co.th/cdn/shop/files/WT_A8804-0040_EAS_PS_ON_FV_0dcdc01f-ee5b-494b-9a4f-a4ad1d708d73.jpg?v=1735574235&width=416; https://levi.co.th/cdn/shop/files/WT_A8804-0040_EAS_PS_ON_D1_1c4ee4a1-87c5-46fe-95c0-cc652e939df8.jpg?v=1735574235&width=416; https://levi.co.th/cdn/shop/files/WT_A8804-0040_EAS_PS_LD_FV_45fb9dbe-47ab-4b1f-aa64-cb012aa96bba.jpg?v=1735574235&width=416; https://levi.co.th/cdn/shop/files/WT_A8804-0040_EAS_PS_LD_D1_bdd77928-4f78-4a32-b613-719a47ff3eed.jpg?v=1735574235&width=416
Levi’s® Men’s Made in Japan 502™ Taper Jeans,"Meet our most versatile fit—our 502™ Taper jeans. Cut on the slimmer side (but still roomy enough for comfort) with a streamlined, tapered leg, they’re a more refined, modern alternative to straight jeans and a universal favorite across builds. They look great both cuffed and uncuffed, and go with pretty much any shoes, so whip out the sneakers, combat boots...
Read more","Zip fly; 5-pocket styling; Tapered leg; Front rise: 10 3/4"",Knee: 17"",Leg opening: 14 1/2"",Measurements based on size 32","98% Cotton, 2% Elastane; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","8,090 ฿","['MIJ Rigan Ryu Medium Worn In', 'Moj Sun Glo', 'Mij Ink']",https://levi.co.th/cdn/shop/files/24_H2_MB_A5881-0006_EAS_PS_ON_DA.jpg?v=1727344269&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A5881-0006_EAS_PS_ON_BV.jpg?v=1727344269&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A5881-0006_EAS_PS_ON_SV.jpg?v=1727344269&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A5881-0006_EAS_PS_ON_FV.jpg?v=1727344268&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A5881-0006_EAS_PS_ON_D1.jpg?v=1727344269&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A5881-0006_EAS_PS_LD_FV.jpg?v=1727344269&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A5881-0006_EAS_PS_LD_BV.jpg?v=1727344269&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A5881-0006_EAS_PS_LD_D1.jpg?v=1727344269&width=416
Levi's® Men's Authentic Button-Down Shirt,"Our denim and shirts were made for each other—and this Authentic Button-Down Shirt proves it. We designed it with a casual, relaxed fit and a classic button-down front.
A classic button-up shirt
Cut with a relaxed fit
Made with soft cotton","Button-down collar; Model is 6'1"", Waist 32"", Wearing size medium; Long Sleeve","100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,190 ฿","['Bright White', 'Waylon Stripe True Blue', 'Woodrow Mid Wash', 'Waylon Stripe Delicioso', 'Colby Vintage Khaki Garment Dye', 'Lucio Navy Blazer Garment Dye']",https://levi.co.th/cdn/shop/files/MT_A7210-0025_EAS_PS_ON_DA_224b1b14-2c7b-4a91-84e0-8bd85055182f.jpg?v=1735275985&width=416; https://levi.co.th/cdn/shop/files/MT_A7210-0025_EAS_PS_ON_BV_82796317-2997-46f8-a14a-73d0bb018573.jpg?v=1735275985&width=416; https://levi.co.th/cdn/shop/files/MT_A7210-0025_EAS_PS_ON_FV_ac7efec7-daa1-4087-81cb-b240ede680ec.jpg?v=1735275985&width=416; https://levi.co.th/cdn/shop/files/MT_A7210-0025_EAS_PS_ON_D1_66a476a7-e1ab-4292-bfbc-0ea143f332a7.jpg?v=1735275985&width=416; https://levi.co.th/cdn/shop/files/MT_A7210-0025_EAS_PS_LD_FV_f23b0d75-56ad-489a-9bb2-d7cff6d690e9.jpg?v=1735275985&width=416; https://levi.co.th/cdn/shop/files/MT_A7210-0025_EAS_PS_LD_D1_85217117-1295-419a-a9c6-5ca5e073a94d.jpg?v=1735275985&width=416
Levi's® Men's Essential Cap,"Top off your outfit with this essential baseball cap. It's crafted in a cotton twill which makes it comfortable for all-day wear.
An essential cap perfect for everyday wear
Adjustable self-fabric closure",Adjustable self-fabric closure,100% Cotton; Hand wash,990 ฿,"['Jeans Blue', 'Light Blue']",https://levi.co.th/cdn/shop/files/levis-mens-essential-cap-d75890003_16_LE_FV.jpg?v=1713365291&width=416; https://levi.co.th/cdn/shop/files/levis-mens-essential-cap-d75890003_17_LE_BV.jpg?v=1713365291&width=416
Levi's® x UNDERCOVER Type I Jacket,"We joined forces with UNDERCOVER to celebrate the 35th anniversary of Jun Takahashi’s epochal brand. Combining UNDERCOVER’s rich, archival influences with Levi’s® unmistakable DNA, this second collection introduces thoughtfully designed pieces that celebrate detailed craftsmanship, innovation and individuality.Our Type I Jacket gets an UNDERCOVER spin. We designed it with black and white 12 oz. denim and an embroidered Zigzag pattern...
Read more",Long Sleeve,100% Cotton,"6,990 ฿",['Black'],https://levi.co.th/cdn/shop/files/MT_001YX-0000_EAS_PS_LD_FV.jpg?v=1736862404&width=416; https://levi.co.th/cdn/shop/files/MT_001YX-0000_EAS_PS_LD_BV.jpg?v=1736862404&width=416; https://levi.co.th/cdn/shop/files/MT_001YX-0000_EAS_PS_LD_D1.jpg?v=1736862404&width=416; https://levi.co.th/cdn/shop/files/MT_001YX-0000_EAS_PS_LD_D2.jpg?v=1736862404&width=416
Levi's® Men's XX Chino Authentic Relaxed,"Levi's® XX Chino Authentic Relaxed—don't call them khakis. These pants are soft with a straight leg, and are cut with a clean, regular fit through the thigh.",Non-stretch; A modern take on the classic chino; Versatile fit with a straight leg; Two front pockets for a classic style; With a hidden zip pocket inside the right hand pocket; Finished with two back flap pockets,"100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,890 ฿","['Meteorite Lightweight Twill Garment Dye', 'Purple Dove Twill Lightweight Twill Garment Dye', 'Vintage Khaki Lightweight Twill Garment Dye']",https://levi.co.th/cdn/shop/files/MB_A5753-0043_EAS_PS_ON_DA_6826f9ff-59bd-46e0-91a7-f04551a16f54.jpg?v=1737448372&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0043_EAS_PS_ON_BV_ebbc415d-2c5b-4e00-802e-c85acd980731.jpg?v=1737448373&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0043_EAS_PS_ON_SV_c4506abc-56a1-4f4d-83f0-ba6f42878088.jpg?v=1737448373&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0043_EAS_PS_ON_FV_6a897110-baad-4d27-a9f9-e89d1b93e131.jpg?v=1737448373&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0043_EAS_PS_ON_D1_c54bcb1b-c694-470e-9924-309e6c1e3403.jpg?v=1737448373&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0043_EAS_PS_ON_D2_4b3451c8-78fd-4982-b708-ca00f99011ed.jpg?v=1737448373&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0043_EAS_PS_LD_FV_064e7b6c-209e-4c20-86b1-57bbd000f0f8.jpg?v=1737448373&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0043_EAS_PS_LD_D1_cf248060-c4d2-403c-aa27-fb986392f70b.jpg?v=1737448373&width=416
Levi's® Women's Ribcage Wide-Leg Jeans,"As if our Ribcage jeans couldn't get any better—meet our Ribcage Wide-Leg jeans. The tailored, leggy look of the '70s and a '90s-inspired super high rise come together to create the perfect proportion to show off the rise and define your waistline. With a soaring 12-inch rise, they're about to become your waist-defining, leg-lengthening obsession.
Our Ribcage jeans you know...
Read more","Non-stretch; Zip fly; 5-pocket styling; Wide leg; Inseam: 32"",Leg opening: 22"",Measurements based on size 27 waist; Model is 5'10"" with a 26"" waist. They're wearing a size 26"" x 32"".","100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","3,490 ฿","['Barely Freezing', 'Splash Zone']",https://levi.co.th/cdn/shop/files/24_H1_WB_A6081-0009_EAS_PS_ON_FA_2f2f2c9f-3210-46e5-b06a-d328f20dc712.jpg?v=1728044443&width=416; https://levi.co.th/cdn/shop/files/24_H1_WB_A6081-0009_EAS_PS_ON_BV_8864eb3d-a2a2-4aa6-9e07-48d6c8eb1375.jpg?v=1728044443&width=416; https://levi.co.th/cdn/shop/files/24_H1_WB_A6081-0009_EAS_PS_ON_DA_35e14a47-e737-4a49-aca9-bd88581aafee.jpg?v=1728044443&width=416; https://levi.co.th/cdn/shop/files/24_H1_WB_A6081-0009_EAS_PS_ON_FV_be54c4f5-c7cc-4705-bc0b-db2a358bff1f.jpg?v=1728044443&width=416; https://levi.co.th/cdn/shop/files/24_H1_WB_A6081-0009_EAS_PS_ON_D1_00b93541-9978-46a0-b038-b00fbccecf39.jpg?v=1728044443&width=416; https://levi.co.th/cdn/shop/files/24_H1_WB_A6081-0009_EAS_PS_LE_FV_94bc1f61-e025-4bea-a137-24a0f4a95cdb.jpg?v=1728044443&width=416; https://levi.co.th/cdn/shop/files/24_H1_WB_A6081-0009_EAS_PS_LE_A1_f835e429-f767-4db7-b7b7-395a75f39e1c.jpg?v=1728044443&width=416
Levi's® Women's Katrina Flutter Sleeve Dress,"This sweet Katrina Flutter Sleeve Dress gets its charm from its romantic details—think fluttery sleeves and a flowy cut. Perfect for a picnic (or for days you wish you were having a picnic).
A sweet flowy dress
Cut with a standard fit
Features flutter sleeves","Sleeveless; Model is 6'2"" with a 32"" waist. They're wearing a size 32 x 32.","100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,090 ฿",['*gone Soon*'],https://levi.co.th/cdn/shop/files/levis-womens-katrina-flutter-sleeve-dress-24_H2_WT_000EZ-0000_EAS_PS_ON_FV_d10d2f7e-5026-45cd-bf60-5467f9e0f308.jpg?v=1732005667&width=416; https://levi.co.th/cdn/shop/files/levis-womens-katrina-flutter-sleeve-dress-24_H2_WT_000EZ-0000_EAS_PS_ON_BV_915c3731-6f58-4467-ab8c-9b4b7e104b30.jpg?v=1732005667&width=416; https://levi.co.th/cdn/shop/files/levis-womens-katrina-flutter-sleeve-dress-24_H2_WT_000EZ-0000_EAS_PS_ON_DA_d89b5d20-93d6-4f9f-852d-cbdfd80aa513.jpg?v=1732005667&width=416; https://levi.co.th/cdn/shop/files/levis-womens-katrina-flutter-sleeve-dress-24_H2_WT_000EZ-0000_EAS_PS_ON_D1_9bf228b6-2c6c-4ecb-a17a-24e79dff3a07.jpg?v=1732005667&width=416
Levi's® Men's Short-Sleeve Classic Standard Fit Shirt,"Some things never go out of style. A button-up shirt is one of them. This Short-Sleeve Classic Standard Fit Shirt features a crisp point collar, a single chest pocket (with our red tab, naturally) and a familiar silhouette.","A versatile, easy-to-style fit; Size up for a more casual, relaxed look","100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","1,790 ฿","['Bright White', 'Jet Black', 'Riverton Stripe Federal Blue', 'Merritt Chambray Mid', 'Normand Indigo Dobby']",https://levi.co.th/cdn/shop/files/MT_86627-0269_EAS_PS_ON_FV.jpg?v=1737448467&width=416; https://levi.co.th/cdn/shop/files/MT_86627-0269_EAS_PS_ON_BV.jpg?v=1737448467&width=416; https://levi.co.th/cdn/shop/files/MT_86627-0269_EAS_PS_LD_FV.jpg?v=1737448467&width=416; https://levi.co.th/cdn/shop/files/MT_86627-0269_EAS_PS_LD_BV.jpg?v=1737448467&width=416; https://levi.co.th/cdn/shop/files/MT_86627-0269_EAS_PS_LD_D1.jpg?v=1737448467&width=416
Levi's® Men's Classic Pocket Standard Fit Shirt,"Some things never go out of style. A button-up shirt is one of them. This Classic Pocket Standard Fit Shirt features a crisp point collar, a single chest pocket (with the Levi's® Red Tab™, naturally) and a familiar silhouette.","A versatile, easy-to-style fit; Size up for a more casual, relaxed look; Model is 5'9"" with a 24"" waist. They're wearing a size small.","100% cotton; Machine Wash Cold, Do Not Bleach, Tumble Dry Medium, Warm Iron If Needed, Dry Cleaning Possible, Wash Inside Out With Like Colors","1,990 ฿","['Caviar', 'Navy Peony', 'Woodrose', 'Cornelius Dobby Stripe Myrtle', 'Jenny Stripe Potent Purple', 'Joel Plaid Dress Blues']",https://levi.co.th/cdn/shop/files/levis-mens-classic-pocket-standard-fit-shirt-857480059_1_ON_FV.jpg?v=1713357956&width=416; https://levi.co.th/cdn/shop/files/levis-mens-classic-pocket-standard-fit-shirt-857480059_2_ON_BV.jpg?v=1713357956&width=416
Levi's® Men's 501® Original Jeans,"Close your eyes. Think “jeans.” Now open. They were 501 Originals®, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of modern jeans—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) introduced them in 1873. To this day they’ve never gone out of style. And they never will.
The...
Read more","Stretch; Button fly; 5-pocket styling; Straight Leg; Front rise: 11 1/4"",Knee: 17 1/2"",Leg opening: 16"",Measurements based on size 32; Model is 5'9"" with a 26"" waist. They're wearing a size 26 x 28.","98% Cotton, 2% LYCRA®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors; Cool","3,790 ฿","['B-side Track Performance Cool', 'Smooth Cruise Performance Cool']",https://levi.co.th/cdn/shop/files/24_H1_MB_00501-3603_EAS_PS_ON_DA_aecaf6bd-d108-4640-a713-baf7d3faef86.jpg?v=1721211755&width=416; https://levi.co.th/cdn/shop/files/24_H1_MB_00501-3603_EAS_PS_ON_BV_65f1cf99-d186-4ac5-aff6-160e153c776c.jpg?v=1721211755&width=416; https://levi.co.th/cdn/shop/files/24_H1_MB_00501-3603_EAS_PS_ON_SV_5d012231-d673-4df2-9a9b-33b9133de0e7.jpg?v=1721211755&width=416; https://levi.co.th/cdn/shop/files/24_H1_MB_00501-3603_EAS_PS_ON_FV_a58d3fe1-ad31-4e9b-b673-a2a21aacdef0.jpg?v=1721211755&width=416; https://levi.co.th/cdn/shop/files/24_H1_MB_00501-3603_EAS_PS_ON_D1_8f03c919-24a4-46a2-9c67-b0760e92e004.jpg?v=1721211755&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3603_EAS_PS_ON_D2_553d87a3-553b-429f-ae65-6514814f9fa3.jpg?v=1721211755&width=416; https://levi.co.th/cdn/shop/files/24_H1_MB_00501-3603_EAS_PS_LE_FV_21576fb2-dfbf-46fe-a919-a4b036fb44d2.jpg?v=1721211755&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3603_EAS_PS_LD_D1_3decced8-8365-4823-9cf0-60f3e336f8ee.jpg?v=1721211755&width=416
